iter	Passed	Remaining
0	128	127901
1	129	64710
2	131	43762
3	133	33299
4	136	27140
5	138	23009
6	139	19821
7	141	17514
8	143	15769
9	144	14326
10	146	13148
11	147	12181
12	149	11361
13	150	10629
14	151	9972
15	153	9423
16	154	8934
17	155	8504
18	156	8104
19	158	7760
20	159	7454
21	161	7159
22	162	6893
23	163	6637
24	164	6412
25	165	6200
26	166	6003
27	167	5817
28	168	5639
29	169	5476
30	170	5331
31	171	5189
32	172	5055
33	173	4933
34	174	4808
35	175	4702
36	176	4602
37	177	4498
38	178	4399
39	179	4306
40	180	4215
41	181	4128
42	181	4046
43	182	3968
44	183	3894
45	184	3820
46	184	3750
47	185	3682
48	186	3619
49	187	3565
50	188	3508
51	189	3451
52	190	3397
53	190	3344
54	191	3291
55	192	3243
56	193	3196
57	194	3151
58	194	3106
59	195	3062
60	196	3018
61	196	2977
62	197	2936
63	198	2898
64	198	2862
65	199	2826
66	200	2791
67	201	2754
68	202	2731
69	203	2698
70	203	2666
71	204	2637
72	205	2610
73	206	2582
74	207	2553
75	207	2524
76	208	2497
77	208	2470
78	209	2443
79	210	2417
80	211	2400
81	212	2376
82	212	2350
83	213	2328
84	214	2305
85	214	2283
86	215	2260
87	216	2239
88	216	2219
89	217	2199
90	218	2181
91	219	2162
92	219	2142
93	220	2123
94	221	2105
95	221	2087
96	222	2075
97	223	2059
98	224	2043
99	225	2032
100	226	2016
101	227	2000
102	227	1985
103	228	1969
104	229	1954
105	230	1941
106	230	1927
107	231	1914
108	232	1900
109	233	1887
110	234	1874
111	234	1861
112	235	1847
113	236	1836
114	237	1824
115	237	1812
116	238	1798
117	239	1786
118	239	1774
119	240	1762
120	241	1751
121	241	1739
122	242	1729
123	243	1719
124	244	1708
125	244	1697
126	245	1686
127	245	1675
128	247	1669
129	248	1660
130	248	1651
131	249	1641
132	250	1632
133	250	1621
134	251	1612
135	252	1603
136	253	1593
137	253	1584
138	254	1576
139	255	1567
140	256	1560
141	256	1550
142	257	1542
143	257	1533
144	258	1524
145	259	1516
146	259	1508
147	260	1500
148	261	1493
149	262	1485
150	262	1477
151	263	1469
152	263	1461
153	264	1453
154	265	1445
155	265	1438
156	266	1431
157	267	1425
158	268	1419
159	269	1412
160	269	1404
161	270	1398
162	270	1391
163	271	1384
164	272	1377
165	272	1370
166	273	1365
167	274	1358
168	275	1352
169	275	1345
170	276	1339
171	276	1332
172	277	1326
173	278	1320
174	278	1314
175	279	1308
176	280	1303
177	280	1297
178	281	1291
179	282	1285
180	282	1279
181	283	1273
182	283	1267
183	284	1261
184	285	1255
185	285	1250
186	286	1245
187	287	1240
188	287	1235
189	288	1229
190	289	1224
191	289	1219
192	290	1213
193	290	1208
194	291	1204
195	292	1200
196	293	1195
197	293	1189
198	294	1184
199	294	1179
200	295	1174
201	296	1169
202	296	1165
203	297	1161
204	298	1157
205	299	1152
206	299	1147
207	300	1143
208	300	1138
209	301	1134
210	302	1130
211	302	1125
212	303	1120
213	304	1117
214	305	1113
215	305	1109
216	306	1105
217	306	1101
218	307	1096
219	308	1092
220	308	1087
221	309	1083
222	309	1079
223	310	1075
224	311	1072
225	312	1068
226	312	1064
227	313	1060
228	313	1056
229	314	1052
230	315	1049
231	315	1045
232	316	1042
233	317	1038
234	318	1035
235	318	1031
236	319	1028
237	319	1024
238	320	1020
239	321	1016
240	321	1013
241	322	1009
242	322	1005
243	323	1003
244	324	999
245	325	996
246	325	992
247	326	989
248	326	985
249	327	982
250	327	978
251	328	975
252	329	972
253	330	969
254	330	966
255	331	962
256	331	959
257	332	956
258	333	953
259	333	950
260	334	946
261	334	943
262	335	941
263	336	938
264	337	934
265	337	931
266	338	928
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	912
273	343	909
274	343	906
275	344	904
276	345	901
277	346	898
278	346	896
279	347	893
280	348	890
281	348	888
282	349	885
283	350	882
284	350	879
285	351	877
286	352	875
287	353	873
288	353	870
289	354	868
290	355	866
291	356	863
292	357	861
293	357	859
294	358	857
295	359	855
296	360	853
297	361	850
298	361	848
299	362	845
300	363	843
301	363	840
302	364	838
303	364	835
304	365	832
305	366	830
306	366	828
307	367	826
308	368	823
309	368	821
310	369	818
311	370	816
312	370	813
313	371	811
314	371	808
315	372	806
316	373	804
317	373	802
318	374	799
319	375	797
320	375	795
321	376	793
322	377	790
323	377	788
324	378	786
325	379	784
326	380	782
327	380	779
328	381	777
329	381	775
330	382	772
331	383	770
332	383	768
333	384	766
334	384	763
335	385	762
336	386	760
337	387	758
338	387	755
339	388	753
340	388	751
341	389	749
342	389	746
343	390	744
344	391	742
345	391	740
346	392	738
347	393	737
348	394	735
349	395	734
350	396	732
351	396	730
352	397	728
353	398	726
354	398	724
355	399	722
356	400	720
357	400	718
358	401	716
359	402	714
360	402	712
361	403	710
362	403	708
363	404	707
364	405	705
365	405	703
366	407	702
367	407	700
368	408	698
369	409	696
370	409	694
371	410	692
372	411	691
373	411	689
374	412	687
375	413	686
376	414	684
377	414	682
378	415	680
379	416	678
380	416	677
381	417	675
382	418	673
383	418	671
384	419	670
385	420	668
386	420	666
387	421	665
388	422	663
389	423	661
390	423	660
391	424	658
392	425	656
393	425	654
394	426	653
395	426	651
396	427	649
397	428	647
398	428	645
399	429	644
400	430	642
401	430	641
402	431	639
403	432	637
404	432	635
405	433	633
406	433	632
407	434	630
408	434	628
409	435	627
410	436	625
411	437	623
412	437	622
413	438	620
414	438	618
415	439	616
416	440	615
417	441	614
418	441	612
419	442	610
420	443	609
421	443	607
422	444	606
423	445	604
424	445	602
425	446	601
426	446	599
